specObjID,ra,dec,z,class
3179607657191335936,0.014282423,27.790883,1.086412,QSO
4815712587965198336,0.0143800000000169,5.037233,0.530818,GALAXY
6949224204756250624,0.0144151920000013,16.048237,2.906448,QSO
844450256396511232,0.014434598,14.198225,0.1145558,GALAXY
1732904866663131136,0.014618,0.90212202,0.08032745,GALAXY
1676604649446074368,0.014674,0.550871,-9.295115E-05,STAR
8032333323051921408,0.0147129759999984,30.570385,2.164761,QSO
7745195036371513344,0.0147280940000201,22.564657,0.5402466,GALAXY
6960409810098122752,0.0148555960000181,10.513798,0.5960366,GALAXY
2676432370801941504,0.0149999999999864,57.370019,0.6883054,GALAXY
7745179918086631424,0.0150077829999873,21.969694,0.3972428,GALAXY
8047040115841363968,0.0150742889999833,-7.112804,0.651931,GALAXY
5106057880672071680,0.0151166140000214,6.9927028,0.423926,GALAXY
3153722677542283264,0.015157,24.8783,-0.000374313,STAR
7330976845489958912,0.0151603439999803,28.634135,0.1419095,GALAXY
7745221974406393856,0.0151661759999797,23.160365,0.5243575,GALAXY
6879494002124189696,0.01528745600001,21.530017,0.4828157,GALAXY
7337761382375026688,0.0155065110000123,26.667752,0.2531103,GALAXY
7745221424650579968,0.0157621559999939,23.229853,0.3841489,GALAXY
4746887282748485632,0.0158878469999877,-1.0315042,0.6875095,GALAXY
5106042487509282816,0.0159523560000139,6.1797939,2.271441,QSO
844561581948823552,0.016064368,14.997595,9.909705E-05,STAR
3155962108470913024,0.016075,28.14609,-3.871727E-05,STAR
6912162415271145472,0.0161653870000009,16.193498,0.3851231,GALAXY
6950325640009281536,0.0162400130000151,17.853403,0.6800841,GALAXY
5104964141530673152,0.0162743970000179,8.7369743,0.4094786,GALAXY
2961202039742294016,0.016285,-5.145326,0.000116951,STAR
1676606298713516032,0.016296,0.281558,0.4521258,GALAXY
1676490025358878720,0.016393,-0.855637,-6.604275E-05,STAR
7742968800287059968,0.0164346579999801,26.612682,2.180127,QSO
6960408710586494976,0.0165347280000105,10.488383,0.5062384,GALAXY
3156026429901137920,0.016585,28.753293,-0.0001672439,STAR
7742945435664969728,0.0166151000000241,26.279124,0.07329106,GALAXY
6954861950610894848,0.0167537429999811,14.647112,2.526897,QSO
6950306673433702400,0.0167593900000043,16.868154,0.4333734,GALAXY
8069528977423396864,0.0168694860000187,-8.5035151,0.545343,GALAXY
1676491674626320384,0.016988,-0.809229,0.4324627,GALAXY
6926810108706615296,0.0170193110000127,9.5687499,0.3917202,GALAXY
6949225854023692288,0.0170520679999981,17.297753,-0.0003453236,STAR
3179618102551799808,0.017077,27.309014,-0.000174081,STAR
4746874088608952320,0.0171884050000131,-0.73215377,0.5672297,GALAXY
435857709292611584,0.017217332,0.75217437,0.206579,GALAXY
1676513939736782848,0.017245,-0.651284,0.1346068,GALAXY
6926806260415918080,0.0173915679999936,9.4141795,0.6482878,QSO
4837034867089403904,0.0174280049999993,2.3279962,0.6443266,GALAXY
731957570947803136,0.017449013,-8.734183,0.08492345,GALAXY
4746880960556625920,0.0175375379999991,0.02292793,0.3307804,GALAXY
6879493727246282752,0.0175838970000086,21.356631,1.626774,QSO
